Name,URL,Image,Hosted,Self hosted,Open source,Nested conversations,Automatic spam moderation,GDPR compliant,Free option
Remark42,https://remark42.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/remark-fav.jpg,0,1,1,1,0,1,1
Remarkbox,https://www.remarkbox.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/remark-fav.jpg,1,0,0,0,0,0,1
ReplyBox,https://getreplybox.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/replybox-fav.jpg,1,0,0,1,1,0,0
Staticman,https://staticman.net/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/staticman-fav.jpg,0,1,1,0,0,1,1
Talkatv,https://github.com/talkatv/talkatv,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/talkatv-fav.jpg,0,1,1,0,0,1,1
TalkYard,https://www.talkyard.io/use-cases/#a-blog,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/talkyard-fav.jpg,1,1,1,1,1,0,0
Triangle Comments,https://github.com/jarodpeachey/triangle-comments,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/triangle-fav.jpg,0,1,1,0,0,1,1
Utterances,https://utteranc.es/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/utterances-fav.jpg,1,0,1,0,0,1,1
Valine,https://valine.js.org/en/index.html,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/valine-fav.jpg,0,1,1,1,0,1,1
Viafoura,https://viafoura.com/conversations/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/viafoura-fav.jpg,1,0,0,1,1,1,1
Vssue,https://vssue.js.org/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/vssue-fav.jpg,0,1,1,0,0,1,1
Vuukle,https://vuukle.com/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/vuukle-fav.jpg,1,0,0,1,1,1,1
WebMention,https://webmention.io/,https://res.cloudinary.com/dahpdufoq/image/upload/marketing-site/community/assets/ecosystem/commenting/webmention-fav.jpg,1,0,0,0,0,0,0
